Depth,S1,S2,S1 + S2,S3,S2/S3,TOC,HI,OI,PP,PI,Tmax,S1/TOC,Ro,classes
5160,2.14,1.33,3.47,0.71,1.87,0.62,215,115,3.5,0.62,440,3.451612903,0.76,Fair
5187,0.19,0.77,0.96,0.65,1.18,0.47,164,138,1,0.2,380,0.404255319,-0.32,Poor
5221,0.22,0.4,0.62,0.33,1.21,0.29,138,114,0.6,0.35,373,0.75862069,-0.446,Poor
3125,0.38,1.93,2.31,0.51,3.784313725,1.49,129.5302013,34.22818792,2.3,0.164502165,428,0.255033557,0.54,Fair/Good
3130,0.19,0.61,0.8,0.56,1.089285714,1.07,57.00934579,52.3364486,0.8,0.2375,424,0.177570093,0.47,Poor/Good
3140,0.25,1.34,1.59,0.81,1.654320988,1.37,97.81021898,59.12408759,1.6,0.157232704,426,0.182481752,0.51,Poor/Good
3158,0.05,1.4,0.05,0.26,5.384615385,0.41,341.4634146,63.41463415,0.1,0.034482759,434,0.12195122,0.65,Poor
3164,1.64,2.07,3.71,0.43,4.813953488,1.34,154.4776119,32.08955224,3.7,0.442048518,349,1.223880597,0.88,Fair/Good
3188,0.02,0.3,0.02,0.49,0.612244898,0.23,130.4347826,213.0434783,0.1,0.0625,429,0.086956522,0.56,Poor
3194,0.04,0.02,0.06,0.43,0.046511628,0.35,5.714285714,122.8571429,0.1,0.666666667,430,0.114285714,0.58,Poor
3200,0.02,0.56,0.02,0.33,1.696969697,0.36,155.5555556,91.66666667,0.1,0.034482759,434,0.055555556,0.65,Poor
3206,0.06,1.9,0.06,0.22,8.636363636,0.41,463.4146341,53.65853659,0.1,0.030612245,385,0.146341463,0.23,Poor
3212,0.04,1.5,0.04,0.22,6.818181818,0.44,340.9090909,50,0.1,0.025974026,430,0.090909091,0.58,Poor
3218,1.64,1.58,3.22,0.3,5.266666667,0.86,183.7209302,34.88372093,3.2,0.50931677,342,1.906976744,1,Fair
3218,1.78,1.35,3.13,0.45,3,0.76,177.6315789,59.21052632,3.1,0.568690096,337,2.342105263,1.09,Fair
3224,0.05,0.01,0.06,0.18,0.055555556,0.36,2.777777778,50,0.1,0.833333333,350,0.138888889,0.86,Poor
3230,0.04,0.02,0.06,0.28,0.071428571,0.36,5.555555556,77.77777778,0.1,0.666666667,254,0.111111111,2.59,Poor
3236,0.01,0.02,0.01,0.22,0.090909091,0.33,6.060606061,66.66666667,0.2,0.333333333,454,0.03030303,1.01,Poor
3242,0.04,0.02,0.06,0.26,0.076923077,0.41,4.87804878,63.41463415,0.1,0.666666667,299,0.097560976,1.78,Poor
3248,0.04,0.01,0.04,0.27,0.037037037,0.37,2.702702703,72.97297297,1.2,0.8,299,0.108108108,1.78,Poor
3254,0.02,0.06,0.02,0.23,0.260869565,0.37,16.21621622,62.16216216,1.2,0.25,299,0.054054054,1.78,Poor
3260,0.03,0.01,0.04,0.3,0.033333333,0.39,2.564102564,76.92307692,0.1,0.75,299,0.076923077,1.78,Poor
3266,0.04,0.9,0.04,0.22,4.090909091,1.42,63.38028169,15.49295775,0.1,0.042553191,432,0.028169014,0.62,Poor/Good
3272,0.31,0.9,1.21,2.22,0.405405405,0.43,209.3023256,516.2790698,1.2,0.256198347,428,0.720930233,0.54,Poor
3272,0.07,0.03,0.1,0.13,0.230769231,0.39,7.692307692,33.33333333,0.1,0.7,385,0.179487179,0.23,Poor
3278,0.02,0.04,0.06,0.18,0.222222222,0.38,10.52631579,47.36842105,0.1,0.333333333,316,0.052631579,1.47,Poor
3284,0.04,0.04,0.08,0.04,1,0.4,10,10,0.1,0.5,297,0.1,1.81,Poor
3290,0.02,0.05,0.07,0.33,0.151515152,0.51,9.803921569,64.70588235,0.1,0.285714286,377,0.039215686,0.37,Poor/Fair
3296,0.06,0.18,0.24,0.25,0.72,7.68,2.34375,3.255208333,0.2,0.25,427,0.0078125,0.53,Poor to Fair/Excellent
3302,4.37,33.59,37.96,0.61,55.06557377,7.04,477.1306818,8.664772727,38,0.11512118,429,0.620738636,0.56,Very Good/Excellent
3308,3.91,30.31,34.22,0.44,68.88636364,6.77,447.7104874,6.499261448,34.2,0.114260666,435,0.577548006,0.67,Excellent
3320,3.13,25.29,28.42,0.56,45.16071429,6.28,402.7070064,8.917197452,28.4,0.110133709,33,0.498407643,6.57,Excellent
3326,0.07,0.11,0.18,0.28,0.392857143,0.5,22,56,0.2,0.388888889,427,0.14,0.53,Poor/Fair
3326,0.66,6.14,6.8,0.4,15.35,2.38,257.9831933,16.80672269,6.8,0.097058824,432,0.277310924,0.62,Very Good/Poor
3332,0.05,0.15,0.2,0.23,0.652173913,0.57,26.31578947,40.35087719,0.2,0.25,430,0.087719298,0.58,Poor/Fair
3332,2.33,21.46,23.79,0.6,35.76666667,5.44,394.4852941,11.02941176,23.8,0.097940311,433,0.428308824,0.63,Excellent
3338,0.07,0.09,0.16,0.26,0.346153846,0.4,22.5,65,0.2,0.4375,368,0.175,0.54,Poor
3344,0.09,0.24,0.33,0.45,0.533333333,0.56,42.85714286,80.35714286,0.3,0.272727273,429,0.160714286,0.56,Poor/Fair
3344,0.07,0.25,0.32,0.31,0.806451613,0.66,37.87878788,46.96969697,0.3,0.21875,433,0.106060606,0.63,Poor/Fair
3350,0.08,0.14,0.22,0.28,0.5,0.51,27.45098039,54.90196078,0.2,0.363636364,434,0.156862745,0.65,Poor/Fair
3356,0.06,0.18,0.24,0.19,0.947368421,0.55,32.72727273,34.54545455,0.2,0.25,435,0.109090909,0.67,Poor/Fair
3368,0.03,0.08,0.25,0.12,0.666666667,6,1.333333333,2,0.63,0.272727273,430,0.005,0.57,Poor to Fair/Excellent
3374,0.41,0.51,0.26,1.58,0.32278481,55,0.927272727,2.872727273,0.2,0.445652174,431,0.007454545,0.6,Poor to Fair/Excellent
3374,0.28,0.42,0.46,0.61,0.68852459,41,1.024390244,1.487804878,0.33,0.4,390,0.006829268,0.14,Poor to Fair/Excellent
3380,0.57,0.73,0.3,1.9,0.384210526,79,0.924050633,2.405063291,0.22,0.438461538,390,0.00721519,0.13,Poor to Fair/Excellent
3386,0.44,0.56,0.25,1.76,0.318181818,58,0.965517241,3.034482759,0.21,0.44,391,0.007586207,0.13,Poor to Fair/Excellent
