,0,1,2,3,4,5,6,7,8,9,10,11,12,13
143,2721.0,0.11,2.38,2.49,0.59,4.03,0.98,242.61,60.14,2.49,0.04,428.0,0.11199999999999999,0.54
144,3356.0,0.06,0.18,0.24,0.19,0.95,0.55,33.0,35.0,0.2,0.25,435.0,0.109090909,0.67
145,1760.0,0.16,9.95,10.11,0.57,17.4477193,2.6,382.65,21.93,0.02,10.11,423.0,0.062,0.45
146,1965.0,0.19,12.64,12.83,0.49,25.8,2.07,610.39,23.66,12.83,0.01,415.0,0.092,0.31
147,1827.0,0.2,10.65,10.85,0.5,21.3072,2.74,388.25,18.22,0.02,10.85,422.0,0.073,0.44
148,3009.0,0.07,1.45,1.52,0.38,3.82,0.67,218.05,57.14,1.52,0.05,430.0,0.10400000000000001,0.58
149,1881.0,0.15,12.34,12.49,0.7,17.63,2.32,530.98,30.12,12.49,0.01,418.0,0.065,0.36
150,4139.0,0.55,1.55,0.65,0.85,1.8235294119999998,100.0,1.55,0.85,0.65,0.261904762,420.0,0.0055,0.41
151,3530.0,0.06,0.09,0.2,0.3,0.3,15.0,0.6,2.0,0.33,0.4,400.0,0.004,0.04
152,4562.0,0.02,0.06,0.12,0.17,0.352941176,18.0,0.333333333,0.944444444,0.67,0.25,429.0,0.0011111110000000001,0.56
153,3344.0,0.07,0.25,0.32,0.31,0.81,0.66,38.0,47.0,0.3,0.22,433.0,0.106060606,0.634
154,2883.0,0.09,1.61,1.69,0.86,1.88,0.87,185.33,98.73,1.69,0.05,433.0,0.10300000000000001,0.63
155,3410.0,0.11,0.18,0.61,0.13,1.384615385,28.0,0.642857143,0.46428571399999996,0.39,0.379310345,393.0,0.003928571,0.09
156,3302.0,4.37,33.59,37.96,0.61,55.07,7.04,437.0,8.0,38.0,0.12,429.0,0.620738636,0.562
157,1827.0,0.2,10.65,10.85,0.5,21.31,2.74,388.25,18.22,10.85,0.02,422.0,0.073,0.44
158,1929.0,0.18,11.79,11.97,0.54,21.83,2.19,538.78,24.68,11.97,0.02,418.0,0.08199999999999999,0.36
