Depth,S1,S2,S3,TOC,PP,Tmax,classes
2679,0.12,1.27,0.34,0.53,0.09,429,Poor/Fair
2685,0.12,1.42,0.44,0.6,0.08,428,Poor/Fair
2688,0.12,1.39,0.49,0.58,0.08,429,Poor/Fair
2685,0.12,1.41,0.47,0.59,0.08,428.5,Poor/Fair
2694,0.1,1.19,0.45,0.5,0.08,427,Poor/Fair
2700,0.09,1.07,0.45,0.59,0.08,428,Poor/Fair
2706,0.09,1.34,0.4,0.58,0.06,428,Poor/Fair
2709,0.09,1.31,0.45,0.57,0.06,429,Poor/Fair
2712,0.1,1.62,0.44,0.68,0.06,429,Poor/Fair
2715,0.11,1.77,0.67,0.81,0.06,430,Poor/Fair
2718,0.1,2.37,0.23,1.1,0.04,430,Fair/Good
2721,0.11,2.38,0.59,0.98,0.04,428,Fair
2718,0.11,2.38,0.41,1.04,0.04,429,Fair/Good
2724,0.15,2.43,0.63,0.93,0.06,428,Fair
2730,0.12,1.59,0.62,0.65,0.07,428,Poor/Fair
2733,0.12,1.63,0.52,0.66,0.07,429,Poor/Fair
2736,0.14,2.52,0.49,0.92,0.05,426,Fair
2739,0.1,1.37,0.48,0.5,0.07,428,Poor/Fair
2742,0.1,1.27,0.56,0.51,0.07,428,Poor/Fair
2754,0.14,2.04,0.52,0.7,0.06,427,Fair
2811,0.09,1.96,0.34,0.71,0.04,430,Fair
2814,0.08,1.02,0.4,0.52,0.07,433,Poor/Fair
2811,0.09,1.49,0.37,0.62,0.06,431.5,Poor/Fair
2871,0.11,1.4,0.47,0.76,0.07,433,Poor/Fair
2880,0.08,1.23,0.41,0.61,0.06,431,Poor/Fair
2883,0.1,2.1,0.53,0.94,0.05,432,Fair
2886,0.07,1.11,1.18,0.79,0.06,434,Poor/Fair
2883,0.09,1.61,0.86,0.87,0.05,433,Poor/Fair
2892,0.08,1.26,0.37,0.65,0.06,432,Poor/Fair
2895,0.09,1.69,0.36,0.88,0.05,432,Poor/Fair
2931,0.09,1.21,0.33,0.54,0.07,429,Poor/Fair
2934,0.09,1.7,0.29,0.68,0.05,431,Poor/Fair
2943,0.08,1.16,0.36,0.51,0.06,431,Poor/Fair
2955,0.1,1.6,0.35,0.63,0.06,429,Poor/Fair
2958,0.1,1.83,0.4,0.68,0.05,431,Poor/Fair
2961,0.1,1.81,0.31,0.72,0.05,432,Poor/Fair
2964,0.09,1.68,0.33,0.68,0.05,431,Poor/Fair
2985,0.09,1.45,0.89,0.86,0.06,433,Poor/Fair
2991,0.08,1.21,0.44,0.63,0.06,433,Poor/Fair
2985,0.09,1.33,0.67,0.74,0.06,433,Poor/Fair
3000,0.08,1.33,0.34,0.56,0.06,431,Poor/Fair
3003,0.08,2.08,0.31,0.89,0.04,431,Fair
3006,0.08,1.49,0.36,0.65,0.05,431,Poor/Fair
